NumIters,Seconds,LearningRate,loss1/loss1,loss2/loss1,loss3/loss3/new,LOG OF LOSS
0,0.146589,0.01,9.92998,10.0574,2.94687,0.469360978
40,5.048422,0.01,,11.1494,1.5889,0.201096565
80,9.950914,0.00999992,10.4288,10.9426,0.887304,-0.051927561
120,14.849857,0.00999983,9.96275,11.2229,0.580271,-0.236369133
160,19.752333,0.00999975,10.6235,11.7204,0.325591,-0.487327608
200,24.651232,0.00999967,10.6339,10.6125,0.279482,-0.553646158
240,29.552085,0.00999958,9.75714,10.0487,0.489151,-0.310557054
280,34.448572,0.0099995,10.4489,10.6499,0.19984,-0.699317579
320,39.342978,0.00999942,10.1234,10.9648,0.512046,-0.290691022
360,44.241186,0.00999933,10.5072,11.4007,0.515256,-0.287976942
400,49.143499,0.00999925,10.3031,10.7816,0.191968,-0.71677116
440,54.03866,0.00999917,9.88105,10.71,0.42729,-0.369277271
480,58.935212,0.00999908,10.5082,10.8606,0.214094,-0.669395504
520,63.837082,0.009999,10.726,10.9591,0.273689,-0.562742657
560,68.728916,0.00999892,10.0662,10.8616,0.523485,-0.281095758
600,73.627303,0.00999883,10.0083,10.7935,0.101119,-0.995167234
640,78.520992,0.00999875,10.2345,11.0938,0.264661,-0.577310051
680,83.416236,0.00999867,9.98514,10.7748,0.0863927,-1.063522953
720,88.309705,0.00999858,10.7023,10.737,0.203498,-0.691439855
760,93.20916,0.0099985,10.5201,11.3569,0.314472,-0.502418017
800,98.107419,0.00999842,11.2569,11.1434,0.0208595,-1.680696106
840,103.007255,0.00999833,10.0352,10.9258,0.0429367,-1.367171337
880,107.908928,0.00999825,10.3935,11.3526,0.0219522,-1.658521949
920,112.809028,0.00999817,10.1639,11.254,0.108966,-0.962708991
960,117.708611,0.00999808,10.4896,10.943,0.187797,-0.72631135
1000,122.614809,0.009998,9.50417,11.0171,0.0338524,-1.470410536
1040,127.507534,0.00999792,10.0153,10.7001,0.0739855,-1.130853387
1080,132.408228,0.00999783,10.7056,10.9609,0.0271948,-1.565514131
1120,137.306197,0.00999775,10.2696,10.535,0.0266396,-1.5744723
1160,142.202605,0.00999767,9.6461,10.3267,0.147762,-0.830437239
1200,147.100448,0.00999758,10.8207,11.3899,0.0760134,-1.119109841
1240,152.000548,0.0099975,10.5861,10.4194,0.0317988,-1.497589269
1280,156.900086,0.00999742,9.41257,10.0914,0.051175,-1.290942149
1320,161.801551,0.00999733,10.053,11.0582,0.00492726,-2.30739452
1360,166.701822,0.00999725,10.6525,10.4843,0.0142483,-1.846236949
1400,171.595185,0.00999717,10.3772,11.082,0.0179758,-1.745311773
1440,176.491255,0.00999708,10.0327,10.5863,0.0396141,-1.402150206
1480,181.397024,0.009997,10.3099,11.2121,0.0133165,-1.875609907
1520,186.286277,0.00999692,10.7817,10.816,0.0218289,-1.660968149
1560,191.184939,0.00999683,9.4607,10.8316,0.0235483,-1.62804044
1600,196.082622,0.00999675,10.4596,10.4147,0.00179626,-2.745630801
1640,200.977851,0.00999667,10.2134,10.9458,0.0164481,-1.783884262
1680,205.879666,0.00999658,10.09,11.3862,0.00786454,-2.104326674
1720,210.776451,0.0099965,10.9737,10.9533,0.0737409,-1.132291566
1760,215.672867,0.00999642,10.1942,11.1074,0.00138769,-2.857707541
1800,220.573258,0.00999633,10.8538,10.9419,0.0767932,-1.114677235
1840,225.477002,0.00999625,10.6238,11.6674,0.00433296,-2.36321532
1880,230.377442,0.00999617,11.1402,11.1714,0.00992136,-2.003428792
1920,235.269399,0.00999608,10.4833,11.0124,0.0168848,-1.772504079
1960,240.170402,0.009996,10.2302,11.0597,0.026491,-1.576901647
2000,245.066138,0.00999592,11.2848,11.3334,0.135386,-0.868426243
2040,249.965483,0.00999583,10.6886,11.554,0.00412209,-2.38488253
2080,254.859655,0.00999575,10.109,10.6481,0.142307,-0.846773737
2120,259.754163,0.00999567,9.95718,11.062,0.0143227,-1.843975105
2160,264.652798,0.00999558,10.637,11.5366,0.0383362,-1.416390938
2200,269.553634,0.0099955,10.0075,10.7303,0.0320978,-1.493524733
2240,274.451964,0.00999542,10.3421,11.2093,0.000379527,-3.420757322
2280,279.349687,0.00999533,10.7233,11.042,0.167497,-0.775992967
2320,284.246216,0.00999525,10.614,11.3231,0.0332808,-1.477806243
2360,289.138362,0.00999517,10.0563,10.7416,0.0120802,-1.917925875
2400,294.037064,0.00999508,10.5015,10.9007,0.152068,-0.817962166
2440,298.938555,0.009995,10.2441,10.748,0.00712564,-2.147176123
2480,303.837565,0.00999491,10.333,11.4333,0.00217623,-2.662295207
2520,308.7346,0.00999483,10.5042,10.7498,0.0071934,-2.143065789
2560,313.628247,0.00999475,10.5086,11.1405,0.00318408,-2.497016029
2600,318.529888,0.00999467,10.4639,11.3774,0.00820466,-2.085939411
2640,323.431782,0.00999458,9.51625,10.3968,0.000919773,-3.036319343
2680,328.325014,0.0099945,10.0385,11.1195,0.000835366,-3.078123205
2720,333.218244,0.00999441,11.287,11.8984,0.00487972,-2.311605097
2760,338.113408,0.00999433,10.4166,10.7701,0.00217925,-2.661692945
2800,343.00532,0.00999425,10.7405,10.7507,0.0773224,-1.111694674
2840,347.9041,0.00999417,10.6013,11.2374,0.0133295,-1.875186141
2880,352.800886,0.00999408,10.2876,11.241,0.00484279,-2.314904363
2920,357.697816,0.009994,10.2444,10.9664,0.00462916,-2.334497808
2960,362.607598,0.00999391,10.8577,10.5692,0.011838,-1.926721664
3000,367.508828,0.00999383,10.0753,10.8775,0.00356935,-2.447410864
3040,372.418122,0.00999375,9.97103,10.9554,0.00110004,-2.958591523
3080,377.327461,0.00999366,10.4456,11.0574,0.0309225,-1.509725402
3120,382.230769,0.00999358,10.2295,11.4548,0.004964,-2.304168227
3160,387.128628,0.0099935,11.1245,11.6408,0.0357066,-1.447251502
3200,392.043151,0.00999341,10.9145,10.9106,0.002673,-2.573001041
3240,396.960395,0.00999333,10.8343,11.8361,0.00366691,-2.435699749
3280,401.884909,0.00999325,10.6639,10.9318,0.0708072,-1.149922579
3320,406.807096,0.00999316,10.5065,10.708,0.0518396,-1.285338358
3360,411.726708,0.00999308,10.0773,10.3477,0.00626752,-2.202904272
3400,416.638713,0.009993,10.6105,11.2345,0.00723345,-2.140654516
3440,421.555853,0.00999291,9.46668,10.199,0.00180524,-2.743465052
3480,426.470877,0.00999283,10.2479,11.4222,0.00856466,-2.067289873
3520,431.395837,0.00999275,10.626,11.6801,0.00120682,-2.918357501
3560,436.3113,0.00999266,10.1886,10.8047,0.00245974,-2.609110796
3600,441.231726,0.00999258,10.2218,11.7781,0.000790855,-3.101903135
3640,446.151139,0.0099925,10.2481,10.9294,0.00738879,-2.131426677
3680,451.070623,0.00999241,10.4493,11.0663,0.0100981,-1.995760333
3720,456.010666,0.00999233,9.20887,10.3147,0.000259053,-3.586611374
3760,460.936112,0.00999225,10.7644,10.9074,0.00072612,-3.138991601
3800,465.892065,0.00999216,10.4392,10.8499,0.0036878,-2.43323264
3840,470.816756,0.00999208,10.0176,10.619,0.0205978,-1.686179163
